nat,age,gender,gendComments,race,raceComments,region,genComments,uniqueIdentifier,experimentName,payment,audio,yesno,proficiency,relatability,believability,comment
Y,20s,F,,OTH,Caucasian and Latina,MW,,2.72974E+14,testimonials-pilot,none,ANN-2nd-NOH,response=Yes,68,76,72,
Y,20s,F,,CAU,,RO,,7.40967E+14,testimonials-pilot,none,TOM-2nd-NOH,response=Yes,56,34,63,
Y,20s,F,,CAU,,RO,,7.40967E+14,testimonials-pilot,none,IRM-catch-100NO,response=No,100,100,100,
Y,20s,F,,CAU,,RO,,7.40967E+14,testimonials-pilot,none,JOS-2nd-HES,response=Yes,67,56,89,venm
Y,20s,F,,CAU,,RO,,7.40967E+14,testimonials-pilot,none,IRM-catch-0YES,response=Yes,0,0,0,
Y,20s,F,,CAU,,RO,,7.40967E+14,testimonials-pilot,none,SER-1st-NOH,response=Yes,85,80,90,
Y,20s,F,,CAU,,RO,,7.40967E+14,testimonials-pilot,none,ANN-1st-HES,response=Yes,35,28,56,
Y,20s,M,,CAU,,MA,,7.66321E+13,testimonials-pilot,none,JOS-2nd-NOH,response=No,34,44,58,
Y,20s,M,,CAU,,MA,,7.66321E+13,testimonials-pilot,none,TOM-1st-HES,response=Yes,17,10,63,
Y,20s,M,,CAU,,MA,,7.66321E+13,testimonials-pilot,none,IRM-catch-0YES,response=Yes,0,0,0,
Y,20s,M,,CAU,,MA,,7.66321E+13,testimonials-pilot,none,SER-2nd-HES,response=Yes,72,69,72,
Y,20s,M,,CAU,,MA,,7.66321E+13,testimonials-pilot,none,ANN-1st-NOH,response=No,70,69,62,
Y,20s,M,,CAU,,MA,,7.66321E+13,testimonials-pilot,none,IRM-catch-100NO,response=No,100,100,100,Venmo is @MarkAgostinelli24
Y,20s,F,,AFR,,OT,The Midwest / The South,2.45326E+14,testimonials-pilot,none,JOS-1st-HES,response=Yes,15,25,35,
Y,20s,F,,AFR,,OT,The Midwest / The South,2.45326E+14,testimonials-pilot,none,ANN-2nd-HES,response=Yes,20,30,45,
Y,20s,F,,AFR,,OT,The Midwest / The South,2.45326E+14,testimonials-pilot,none,TOM-1st-NOH,response=Yes,45,50,60,
Y,20s,F,,AFR,,OT,The Midwest / The South,2.45326E+14,testimonials-pilot,none,IRM-catch-0YES,response=Yes,0,0,0,Venmo - @ChineseChamp
Y,20s,F,,AFR,,OT,The Midwest / The South,2.45326E+14,testimonials-pilot,none,IRM-catch-100NO,response=No,100,100,100,Venmo - @ChineseChamp
Y,20s,F,,AFR,,OT,The Midwest / The South,2.45326E+14,testimonials-pilot,none,SER-2nd-NOH,response=Yes,75,65,85,
Y,20s,M,,ASI,,SW,,7.16051E+14,testimonials-pilot,none,ANN-1st-NOH,response=Yes,90,66,90,
Y,20s,M,,ASI,,SW,,7.16051E+14,testimonials-pilot,none,IRM-catch-0YES,response=Yes,0,0,0,
Y,20s,M,,ASI,,SW,,7.16051E+14,testimonials-pilot,none,SER-2nd-HES,response=No,20,15,25,
Y,20s,M,,ASI,,SW,,7.16051E+14,testimonials-pilot,none,JOS-2nd-NOH,response=Yes,80,81,78,
Y,20s,M,,ASI,,SW,,7.16051E+14,testimonials-pilot,none,TOM-1st-HES,response=Yes,50,60,60,
Y,20s,M,,ASI,,SW,,7.16051E+14,testimonials-pilot,none,IRM-catch-100NO,response=No,100,100,100,
Y,20s,F,,CAU,,SW,,7.77131E+14,testimonials-pilot,none,ANN-1st-HES,response=Yes,51,35,33,
Y,20s,F,,CAU,,SW,,7.77131E+14,testimonials-pilot,none,TOM-2nd-NOH,response=No,57,36,37,
Y,20s,F,,CAU,,SW,,7.77131E+14,testimonials-pilot,none,IRM-catch-0YES,response=Yes,0,0,0,
Y,20s,F,,CAU,,SW,,7.77131E+14,testimonials-pilot,none,IRM-catch-100NO,response=No,100,100,100,
Y,20s,F,,CAU,,SW,,7.77131E+14,testimonials-pilot,none,JOS-2nd-HES,response=Yes,78,71,76,
Y,20s,F,,CAU,,SW,,7.77131E+14,testimonials-pilot,none,SER-1st-NOH,response=Yes,100,100,100,
Y,20s,F,,AFR,,MA,,5.60815E+14,testimonials-pilot,none,JOS-2nd-NOH,response=Yes,80,40,70,
Y,20s,F,,AFR,,MA,,5.60815E+14,testimonials-pilot,none,SER-2nd-HES,response=No,10,5,19,
Y,20s,F,,AFR,,MA,,5.60815E+14,testimonials-pilot,none,TOM-1st-HES,response=Yes,75,80,76,
Y,20s,F,,AFR,,MA,,5.60815E+14,testimonials-pilot,none,IRM-catch-100NO,response=No,100,100,100,
Y,20s,F,,AFR,,MA,,5.60815E+14,testimonials-pilot,none,IRM-catch-0YES,response=Yes,0,0,0,
Y,20s,F,,AFR,,MA,,5.60815E+14,testimonials-pilot,none,ANN-1st-NOH,response=Yes,85,76,85,
